"SCHOOLID"	"SEX"	"KIND"	"GRADE"	"MATH"	"ESCS"	"CHANGE"	"FAMSTRUC"	"READ"	"TECH"	"LYCEUM"	"EARLY"	"ESCSM"	"SCHLSIZE"	"SCMATEDU"	"SCMATBUI"	"PROPSTAY"	"ISTMED"	"ISTLAR"	"MEDDISC"	"MEDSTUR"	"PCGMED"	"PCGALT"
"68"	14008	"Female"	1	1	363.3276	-0.31009	"Yes"	"1"	493.8948	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"69"	14008	"Female"	1	1	450.8802	0.1939	"Yes"	"1"	485.1558	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"70"	14008	"Female"	1	0	453.0612	-0.57056	"Yes"	"1"	550.3011	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"71"	14008	"Female"	1	1	489.7492	0.22608	"Yes"	"0"	492.862	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"72"	14008	"Female"	1	1	474.482	-0.93139	"Yes"	"1"	606.8662	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"73"	14008	"Female"	1	1	470.0421	-0.28297	"Yes"	"1"	442.0964	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"74"	14008	"Female"	1	1	460.7727	0.30014	"Yes"	"1"	466.0889	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"75"	14008	"Female"	1	1	514.6752	0.91814	"Yes"	"1"	499.1382	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"76"	14008	"Female"	1	1	523.5551	0.42646	"Yes"	"1"	574.5319	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"77"	14008	"Female"	1	1	502.2122	-1.0673	"Yes"	"0"	549.1888	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"78"	14008	"Female"	1	1	487.3345	-1.03012	"Yes"	"1"	462.9111	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"79"	14008	"Female"	1	1	521.6077	-0.51827	"Yes"	"1"	651.1968	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"80"	14008	"Female"	1	1	513.4289	0.90128	"Yes"	"1"	584.6215	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"81"	14008	"Female"	1	1	543.3401	-0.4527	"Yes"	"1"	547.1232	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"82"	14008	"Female"	1	1	498.707	0.8274	"Yes"	"0"	518.5229	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"83"	14008	"Female"	1	1	519.1151	-0.74047	"Yes"	"1"	461.3222	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"84"	14008	"Female"	1	1	594.5163	0.21731	"Yes"	"0"	559.0401	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"85"	14008	"Female"	1	1	563.6704	-0.99862	"Yes"	"1"	576.5181	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"86"	14008	"Female"	1	1	521.9972	-0.1854	"Yes"	"1"	543.3099	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"87"	14008	"Male"	1	1	555.7252	0.97209	"Yes"	"1"	542.4151	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"88"	14008	"Male"	1	1	585.169	-1.43333	"Yes"	"1"	527.3358	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"89"	14008	"Male"	1	1	574.4197	-0.09699	"Yes"	"1"	622.6242	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"90"	14008	"Female"	1	1	555.881	-0.89404	"Yes"	"1"	498.6615	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"91"	14008	"Female"	1	1	534.5381	0.06044	"Yes"	"1"	442.2552	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"92"	14008	"Female"	1	1	523.1656	0.35243	"Yes"	"1"	706.9675	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"93"	14008	"Female"	1	1	584.0006	0.56693	"Yes"	"1"	658.1085	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"94"	14008	"Female"	1	1	582.7543	-0.01633	"Yes"	"1"	657.1552	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"95"	14008	"Female"	1	1	595.451	-0.40041	"Yes"	"1"	515.3451	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"96"	14008	"Female"	1	1	634.7095	-0.86789	"Yes"	"1"	615.4463	0	1	0	-0.154624	676	2.2	-1.124	3	0	1	0.750757	-0.388603	0	1
"97"	14009	"Female"	1	1	407.8828	0.4885	"Yes"	"1"	472.4445	0	1	1	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"98"	14009	"Female"	1	1	415.7501	1.55489	"Yes"	"0"	566.7463	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"99"	14009	"Female"	1	1	456.0212	1.67633	"Yes"	"0"	538.2254	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"100"	14009	"Female"	1	1	476.8188	1.10115	"Yes"	"1"	559.9934	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"101"	14009	"Male"	1	1	477.9872	1.31031	"Yes"	"1"	480.8145	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"102"	14009	"Female"	1	1	518.492	-0.34813	"Yes"	"0"	633.8777	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"103"	14009	"Male"	1	1	464.4337	1.20573	"Yes"	"1"	588.2947	0	1	1	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"104"	14009	"Female"	1	1	468.3284	0.22705	"Yes"	"1"	470.8556	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"105"	14009	"Female"	1	1	501.4332	1.31908	"Yes"	"0"	618.3858	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"106"	14009	"Female"	1	1	496.5259	0.30549	"Yes"	"0"	515.9806	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"107"	14009	"Female"	1	1	546.2222	1.99934	"Yes"	"1"	511.3728	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"108"	14009	"Female"	1	1	533.136	1.99934	"Yes"	"1"	527.103	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"109"	14009	"Female"	1	1	577.6133	0.69064	"Yes"	"1"	599.5572	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"110"	14009	"Male"	1	1	558.6852	1.87197	"Yes"	"1"	646.8474	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"111"	14009	"Female"	1	1	537.3423	1.76739	"Yes"	"1"	549.5066	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"112"	14009	"Female"	1	1	563.5925	1.34522	"Yes"	"1"	632.1299	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"113"	14009	"Female"	1	1	576.1334	-0.45284	"Yes"	"1"	609.0907	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"114"	14009	"Female"	1	1	594.2047	0.54032	"Yes"	"1"	626.5687	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"115"	14009	"Female"	1	1	602.6951	1.5026	"Yes"	"0"	591.2949	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"116"	14009	"Female"	1	1	594.0489	0.3568	"Yes"	"1"	575.8825	0	1	1	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"117"	14009	"Male"	1	1	613.9118	0.98812	"N/A"	"1"	551.7996	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"118"	14009	"Female"	1	1	578.4702	0.48084	"Yes"	"1"	603.5295	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"119"	14009	"Female"	1	1	571.8492	1.20573	"Yes"	"0"	663.5108	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"120"	14009	"Female"	1	1	632.2169	-0.55728	"Yes"	"0"	648.019	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"121"	14009	"Female"	1	1	619.4423	0.13761	"Yes"	"1"	508.195	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"122"	14009	"Female"	1	1	585.5585	1.67633	"Yes"	"1"	550.8572	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"123"	14009	"Female"	1	1	631.36	1.37137	"Yes"	"1"	541.5621	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"124"	14009	"Female"	1	1	612.7434	1.17959	"Yes"	"1"	635.4666	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"125"	14009	"Female"	1	1	606.3561	1.21836	"Yes"	"1"	566.1902	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"126"	14009	"Male"	1	1	660.8818	0.84848	"Yes"	"1"	634.816	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"127"	14009	"Female"	1	1	702.477	1.5026	"Yes"	"0"	703.6308	0	1	0	0.9842881	845	-0.37	-1.124	2	1	0	0.491658	-0.878265	0	1
"128"	14010	"Female"	1	1	389.9673	-0.49213	"Yes"	"1"	464.5	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"129"	14010	"Female"	1	1	390.0452	-0.06862	"Yes"	"1"	526.9441	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"130"	14010	"Female"	1	1	410.687	0.24266	"Yes"	"1"	492.3059	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"131"	14010	"Female"	1	0	447.2192	0.85726	"Yes"	"1"	488.4925	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"132"	14010	"Female"	1	1	414.9712	-0.57056	"Yes"	"1"	418.9777	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"133"	14010	"Female"	1	1	399.1587	-1.31578	"Yes"	"1"	422.3939	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"134"	14010	"Female"	1	1	450.7244	-0.12257	"Yes"	"1"	482.9313	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"135"	14010	"Female"	1	1	402.0408	0.69941	"Yes"	"1"	457.7471	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"136"	14010	"Female"	1	1	423.0721	-0.22549	"N/A"	"1"	430.4973	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"137"	14010	"Female"	1	1	424.9416	-1.39186	"Yes"	"1"	431.1329	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"138"	14010	"Female"	1	1	463.8106	0.46235	"Yes"	"0"	551.89	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"139"	14010	"Female"	1	1	469.4189	-0.12587	"Yes"	"1"	438.4419	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"140"	14010	"Female"	1	1	450.0234	0.02064	"Yes"	"1"	422.95	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"141"	14010	"Female"	1	1	469.8863	1.99934	"Yes"	"1"	479.5946	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"142"	14010	"Female"	1	1	470.5873	-0.59151	"Yes"	"0"	508.5922	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"143"	14010	"Female"	0	1	453.8402	0.0621	"Yes"	"1"	500.2504	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"144"	14010	"Female"	1	0	517.4015	-0.06862	"No"	"1"	524.8785	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"145"	14010	"Female"	1	1	485.6208	0.30822	"Yes"	"1"	587.4815	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"146"	14010	"Male"	1	1	476.8188	1.37523	"Yes"	"0"	501.0272	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"147"	14010	"Female"	1	1	515.3762	1.4498	"No"	"1"	525.673	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"148"	14010	"Female"	1	1	453.9181	-0.23115	"Yes"	"1"	591.2949	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"149"	14010	"Female"	1	1	453.6844	-1.12768	"Yes"	"1"	553.32	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"150"	14010	"Male"	1	1	499.7975	-0.35621	"Yes"	"0"	558.6174	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"151"	14010	"Female"	1	0	509.3005	-0.34813	"Yes"	"0"	407.2992	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"152"	14010	"Female"	1	1	471.9115	0.54032	"Yes"	"1"	488.3336	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"153"	14010	"Female"	1	1	541.7822	-0.74916	"Yes"	"1"	474.8279	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"154"	14010	"Female"	1	1	478.4546	1.38303	"Yes"	"1"	450.9942	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
"155"	14010	"Female"	1	1	528.774	1.84583	"Yes"	"1"	404.1214	0	1	0	0.0658987	424	1.113	-0.137	10	1	0	-0.538363	-0.66304	0	1
